You are now connected to database "mitchs_rare_treasures" as user "a".
 treasure_id |                 treasure_name                 |   colour   | age  | cost_at_auction | shop_id 
-------------+-----------------------------------------------+------------+------+-----------------+---------
           1 | Implemented Sleek Steel Computer              | blue       |  195 |          835.06 |      87
           2 | Up-sized Awesome Soft Pizza                   | turquoise  |   47 |           221.7 |      32
           3 | Pre-emptive Licensed Frozen Bacon             | azure      |  249 |           380.5 |     779
           4 | Stand-alone Incredible Metal Fish             | green      |  544 |          824.64 |     289
           5 | Phased Refined Wooden Towels                  | plum       |  816 |          152.27 |     241
           6 | Reactive Small Rubber Gloves                  | green      |   63 |          467.98 |     783
           7 | Expanded Handcrafted Granite Shoes            | orchid     |  832 |          716.49 |     239
           8 | Optimized Sleek Frozen Pants                  | white      |   15 |          399.39 |     533
           9 | Team-oriented Practical Granite Salad         | indigo     |   82 |          644.81 |     398
          10 | Organic Fantastic Concrete Computer           | lime       |  898 |           36.47 |     151
          11 | Reduced Practical Soft Sausages               | tan        |  355 |           364.6 |     862
          12 | Face to face Sleek Cotton Cheese              | plum       |  366 |           88.07 |     877
          13 | Robust Unbranded Granite Computer             | magenta    |  234 |           37.25 |     433
          14 | Profit-focused Incredible Steel Towels        | lime       |  171 |          521.84 |     691
          15 | Switchable Small Soft Shoes                   | blue       |  759 |          895.42 |     157
          16 | Stand-alone Licensed Cotton Chicken           | teal       |  596 |          353.89 |     913
          17 | Re-engineered Small Wooden Cheese             | pink       |  216 |          761.78 |     184
          18 | Persistent Sleek Concrete Bacon               | indigo     |  218 |          441.15 |     430
          19 | Versatile Unbranded Fresh Chicken             | gold       |  606 |          496.52 |     441
          20 | Decentralized Sleek Soft Pizza                | silver     |  407 |          658.06 |     738
          21 | Versatile Handcrafted Cotton Mouse            | teal       |  591 |          746.76 |     301
          22 | Front-line Refined Rubber Gloves              | violet     |  606 |          886.77 |     345
          23 | Monitored Tasty Wooden Ball                   | lavender   |  582 |           120.7 |     851
          24 | Multi-layered Handmade Plastic Keyboard       | black      |  414 |           75.79 |      31
          25 | Multi-layered Gorgeous Rubber Hat             | lime       |  562 |          435.78 |     618
          26 | Configurable Ergonomic Granite Bike           | mint green |  347 |           935.5 |     918
          27 | Seamless Fantastic Frozen Chicken             | turquoise  |  699 |          480.18 |      49
          28 | Inverse Awesome Granite Mouse                 | azure      |  617 |          808.97 |     435
          29 | Cross-platform Unbranded Rubber Cheese        | yellow     |  854 |          704.63 |     732
          30 | Balanced Tasty Cotton Shirt                   | azure      |   34 |          835.15 |     163
